Ticker,DCF method,Entreprise value method,Gorden Shapiro Method
ATVI,77730748801.41362,55113000000.0,45.4639368895567
CMCSA,504152998937.9819,296327000000.0,44.53476305776549
EA,26396653635.16088,31888000000.0,35.005997600959624
FOX,47010488785.38468,24223000000.0,19.776
OMC,30024748329.34274,17996900000.0,164.6870717222476
T,831415459623.6117,297432000000.0,152.1590909090909
VZ,434803922865.0521,355662000000.0,461.8246110325318
LNT,7017243049.453495,21873000000.0,255.703125
NRG,100077065189.66022,16713000000.0,62.374314442413166
PNW,621646234.3291906,15194766000.0,2163.0000000000036
SO,11133399557.460785,120809000000.0,289.27659574468095
WEC,8265789644.061209,44090100000.0,1279.163669064746
XEL,4661793565.3601885,59267000000.0,406.32627118644047
APA,99091020253.73372,21062000000.0,1.857384741541639
CVX,580773998473.2404,347684000000.0,194.93459504592258
DVN,133808582895.70079,45032000000.0,38.05356441476825
AMP,97639281398.37633,28879000000.0,112.93421307975936
AON,76212911757.20874,75409200000.0,98.85208882197969
BEN,42191335179.15141,13015600000.0,37.632565959648225
BLK,133045201137.02393,110450000000.0,547.5283181482394
A,47383442846.62618,41979000000.0,30.357249181303953
ABBV,802117583516.4724,337769000000.0,306.85031418312377
ABC,69418009124.25609,35614569000.0,227.42885181550542
ABT,328778179392.88293,218638000000.0,108.98837209302324
AMGN,352712124239.1001,156954000000.0,609.1579292267368
ANTM,233377593541.36432,129263000000.0,183.25586711368481
BAX,69345055192.92978,53193000000.0,87.76628119293974
BDX,136155411668.50609,90170000000.0,243.32962757087265
BMY,587333215299.1567,180058000000.0,200.29992260061923
CAH,85200861290.95401,17884000000.0,90.92330569574621
AVB,60270797135.571686,41872296000.0,287.11430575035064
EXR,49717262069.19447,33499190000.0,745.9443800695249
FRT,23309937407.70712,13187320000.0,146.6424379834622
IRM,34785417680.4794,23158124000.0,121.64366883116881
WY,124241430598.35043,31730000000.0,58.442228335625856
